Energia_kWh,Energia_kWh_por_kWp,Instalacao_Total_kWh,Data_Diaria,GHI_Irradiacao_Wh_m2_dia,DNI_Irradiacao_Wh_m2_dia,DHI_Irradiacao_Wh_m2_dia,Temperatura_Media_C,Velocidade_Vento_Media_ms,Producao_por_GHI_Unidade
20.61565,1.37438,20.61565,2/2/2024,1566.5,531,1259.5,,,22.979271
25.39456,1.69297,25.39456,2/3/2024,2104.5,580.5,1661,,,25.009683
24.99738,1.66649,24.99738,2/4/2024,2511.5,1357,1448.5,,,26.545701
35.4564,2.36376,35.4564,2/5/2024,3906.5,3977.5,913,,,31.810431
34.18074,2.27872,34.18074,2/6/2024,3188.5,2108.5,1705,,,29.100699
29.45296,1.96353,29.45296,2/7/2024,3260,2142.5,1664,,,29.37054
32.13333,2.14222,32.13333,2/8/2024,3418,3161,1404.5,,,29.966832
33.44109,2.22941,33.44109,2/9/2024,4029.5,4401,900,,,32.274633
32.10774,2.14052,32.10774,2/10/2024,3728.5,3687,1096.5,,,31.138659
32.26482,2.15099,32.26482,2/11/2024,3746.5,3782,1246,,,31.206591
32.95306,2.19687,32.95306,2/12/2024,3645.5,3413,1289.5,,,30.825417
30.30464,2.02031,30.30464,2/13/2024,3062,2189,1523.5,,,28.623288
19.21662,1.28111,19.21662,2/14/2024,1488.5,198,1335,,,22.684899
15.74377,1.04958,15.74377,2/15/2024,1048,1.5,1045.5,,,21.022452
25.19964,1.67998,25.19964,2/16/2024,2240,961,1821.5,,,25.52106
28.57708,1.90514,28.57708,2/17/2024,2281,627,1853,,,25.675794
19.32492,1.28833,19.32492,2/18/2024,1966,886.5,1133.5,,,24.486984
31.78556,2.11904,31.78556,2/19/2024,2999.5,2373,1523,,,28.387413
19.31312,1.28754,19.31312,2/20/2024,1801.5,554,1458,,,23.866161
24.32314,1.62154,24.32314,2/21/2024,1893,667,1393,,,24.211482
32.95537,2.19702,32.95537,2/22/2024,3276.5,2897.5,1317,,,29.432811
31.34643,2.08976,31.34643,2/23/2024,3027,1990,1512,,,28.491198
18.17257,1.2115,18.17257,2/24/2024,1477,637.5,994.5,,,22.641498
32.29124,2.15275,32.29124,2/25/2024,3001.5,1809.5,1579.5,,,28.394961
30.75057,2.05004,30.75057,2/26/2024,2597.5,1314,1674,,,26.870265
31.09686,2.07312,31.09686,2/27/2024,2993,1981.5,1521.5,,,28.362882
24.00914,1.60061,24.00914,2/28/2024,1850,959.5,1253.5,,,24.0492
